fila_excel,nombre,alias,tipo,detalle_cliente,categoria,sitio_web,anios_participacion,logo_archivo,logo_nombre_original,logo_drive_url,logo_descarga_directa,observacion
85,FUNDACIÓN GANTZ - HOSPITAL DEL NIÑO CON FISURA,,,Socia,Organizaciones participantes,www.gantz.cl,"2024, 2025",fundacion-gantz-hospital-del-nino-con-fisura.png,Logo-Fundación-Gantz-Azul.png,https://drive.google.com/file/d/1TTnsmpSjSAcVXpwBhlGniq8DTgYdj4Ld/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1TTnsmpSjSAcVXpwBhlGniq8DTgYdj4Ld,
86,FUNDACIÓN GASTRONOMÍA SOCIAL,,,Socia,Organizaciones participantes,https://www.gastronomia.social/,2025,fundacion-gastronomia-social.png,Fundación Gastronomía Social.png,https://drive.google.com/file/d/1u01DY_X1iWLAJPqxCSF0Zqafp6uOxBnP/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1u01DY_X1iWLAJPqxCSF0Zqafp6uOxBnP,
87,FUNDACIÓN GESTA,,,Socia,Organizaciones participantes,www.fundaciongesta.cl,"2024, 2025",fundacion-gesta.png,Fundacion Gesta.png,https://drive.google.com/file/d/1jHWdPxjL2IeLtDZWAFEWvvWl0ZOF3ig4/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1jHWdPxjL2IeLtDZWAFEWvvWl0ZOF3ig4,
88,FUNDACIÓN GRANDES,,,Socia,Organizaciones participantes,https://www.grandes.org/,2025,fundacion-grandes.png,Fundacion Grandes.png,https://drive.google.com/file/d/1PhqiQa1YM8XXpQKYCnksmPxGD86ZWoYZ/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1PhqiQa1YM8XXpQKYCnksmPxGD86ZWoYZ,
89,HOGAR DE CRISTO,,,"No socia, relacionada a COS",Organizaciones participantes,https://www.hogardecristo.cl/,2025,hogar-de-cristo.png,Hogar de Cristo Logo horizontal.png,https://drive.google.com/file/d/1g9Lq9mdZ_-7peUkF32-Ov8GupIskct-9/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1g9Lq9mdZ_-7peUkF32-Ov8GupIskct-9,
90,FUNDACIÓN HUELLA GESTIÓN SOCIAL,,,Socia,Organizaciones participantes,www.huellags.com,2025,fundacion-huella-gestion-social.jpeg,Huella Gestión Social.jpeg,https://drive.google.com/file/d/1ib1x26zONjKF4KERjjWI0s9oOPcyIQcs/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1ib1x26zONjKF4KERjjWI0s9oOPcyIQcs,
91,FIPI - FUNDACIÓN IDEAS PARA LA INFANCIA,,,Socia,Organizaciones participantes,www.fipi.cl,2025,fipi-fundacion-ideas-para-la-infancia.png,Fundación Ideas para la Infancia FIPI.png,https://drive.google.com/file/d/1gSYuqdJkxkcOKXOw1l05Q1TCIopyoUE-/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1gSYuqdJkxkcOKXOw1l05Q1TCIopyoUE-,
92,FUNDACIÓN INFANCIA PRIMERO,,,Socia,Organizaciones participantes,www.infanciaprimero.org/,"2024, 2025",fundacion-infancia-primero.png,Fundación Infancia Primero.png,https://drive.google.com/file/d/1Wu0wmpVuj7tjNsB_4Lbx5aXtZtiduBIO/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1Wu0wmpVuj7tjNsB_4Lbx5aXtZtiduBIO,
93,FUNDACIÓN INFOCAP,,,Socia,Organizaciones participantes,www.infocap.cl,2025,fundacion-infocap.png,Fundación INFOCAP.png,https://drive.google.com/file/d/1a6Zb1dnZvt2tvkZwV4wMlo_m5IAQYES8/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1a6Zb1dnZvt2tvkZwV4wMlo_m5IAQYES8,
94,FUNDACIÓN INSPIRA,,,Socia,Organizaciones participantes,www.fundacioninspira.cl,2025,fundacion-inspira.zip,Fundación Inspira.zip,https://drive.google.com/file/d/1XC7sPS1dTyOFCEDO0RgL_ygkgeFrUXj0/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1XC7sPS1dTyOFCEDO0RgL_ygkgeFrUXj0,formato .zip no es imagen web: convertir a PNG o pedir otro archivo
95,FUNDACIÓN ITACA,,,Socia,Organizaciones participantes,www.fundacionitaca.cl,2025,fundacion-itaca.png,Fundación Itaca.png,https://drive.google.com/file/d/1UAQ7nyoCfB41IwGU44_r1I47HbTcCnnp/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1UAQ7nyoCfB41IwGU44_r1I47HbTcCnnp,
96,FUNDACIÓN AMANOZ,,,Socia,Organizaciones participantes,www.amanoz.cl,"2024, 2025",fundacion-amanoz.png,Fundación Amanoz.png,https://drive.google.com/file/d/1or1F46HGzgJEa-DT0FXuxPP-8dTaLxib/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1or1F46HGzgJEa-DT0FXuxPP-8dTaLxib,
